vin,cid,username,soldprice,solddate
00AIVKIDO01487633,110,user19,6307.12,2020-12-13
01WR7E2ZMCD216522,5,user10,3761.09,2021-06-28
06XZOKN8UAY309163,56,roland,1263.15,2003-07-20
073HOEWCHAF741925,53,user10,6395.17,2003-06-21
07TSE0YYIZF380247,55,user04,2271.02,2020-10-27
07W0YPOJ5ME337155,170,user10,5541.84,2004-11-21
0BT52YYB1L8670257,56,user32,15835.96,2020-11-21
0EPPRCZZ8NW751990,187,roland,5682.03,2012-06-20
0I0Q707FJ2E520815,153,user04,2110.63,2003-11-21
0K0DP4SDKL0912273,15,user01,3323.71,2020-09-22
0UBBG820VBK445621,183,user21,3914.2,2021-04-21
0VWWXBNXE6N897485,63,user23,1543.97,2010-01-20
0WPI14P1N3Y139809,123,user01,4839.43,2021-01-29
0YQVT1ME4G3999928,180,user21,1900.06,2006-02-21
15G3KHMPQ6Q659826,104,user22,4525.43,2011-07-20
1DQL1LHOWDJ517215,188,user06,1293.88,2021-01-16
1EF7NFU0EUT973245,102,user10,3005.66,2020-10-28
1FU8E0GMYMW270793,188,user21,3400,2005-09-20
1NGZ4FLKC0Y272420,83,user10,2443.11,2006-05-21
1XHDZEREQ7I052484,128,user04,6786.62,2021-03-21
20DS0RGMDXW132327,71,user10,1959.43,2006-09-21
21SSFP0O1TZ975822,65,user04,2942.34,2021-05-19
222BHPCRR2U716446,192,user23,4007.78,2012-05-20
23XU4U8IFDL261229,50,user21,3239.44,2021-02-24
26OCQWEQYJV636712,105,user22,2519.51,2021-06-19
26RIMRHVSQK619881,174,roland,1359.46,2020-11-26
280ECEXOEHP375800,163,user10,3306.53,2005-06-21
2GJ51MZ0A1N199895,38,user21,4181.44,2021-02-22
2H6ZZF8OOXC822443,134,user22,4707.07,2020-06-29
2JFUVPW8OEP241581,121,user22,3585.97,2006-04-21
2JS82H11FSA911163,13,user22,4549.97,2021-04-15
2MNNLWJKNT4620363,87,user04,3710.95,2021-03-15
2NMR3SMFNAZ813043,82,user32,2956.55,2021-06-21
2UL7JBUREY0725461,161,user23,4768.2,2021-05-31
2W7BN5RJGCI094698,21,user21,11315.92,2021-06-26
2XMKC0W8ARB619752,152,user01,2419.75,2007-12-20
2ZGQSMRVMSR266772,124,roland,1354.38,2021-06-30
36GPKZLLJM1116960,180,user04,5496.27,2020-04-26
36HU6JXKV0B908236,139,user04,4559.97,2007-06-20
3856NH1QBEC536316,183,user23,2243.57,2020-01-18
3A03KTHXJ6O098081,189,user04,3485.45,2006-10-21
3A3OOF2JN5W951740,61,user32,2686.69,2007-03-21
3BZD4P4QMXX657876,62,roland,3285.81,2020-02-25
3C8P2TNWAH7477883,195,user06,3359.43,2020-03-23
3J73EOBU1AT381615,167,user21,7097.88,2007-02-21
3JLCARWCAYY553033,186,user21,1246.74,2021-06-20
3LSIXEX21UG135253,26,user23,6301.2,2020-07-17
3PO4C2PYJG2012419,159,user32,3011.23,2006-09-21
3WLVE4GIZOK699230,73,user10,4262.73,2007-03-21
40ZV2CDNP4T119176,181,user06,5317.24,2005-06-21
4AO3LKJSBVK865142,116,user01,3794.77,2021-05-26
4ILM6P01OC4089888,184,user19,3661.32,2002-11-21
4J0U15MIVG3154225,108,roland,4355.85,2021-03-20
4JT7M5DVI8N560897,7,roland,1345.31,2021-06-13
4M0LNVY3QN7194734,79,user32,3726.94,2006-11-20
4MN32RC4IOG603247,131,user23,2638.2,2021-02-28
4QJE0AIYWQG719639,174,user32,2214.62,2007-03-21
4U6EIHP6IVH261573,137,user06,3626.51,2005-04-21
4VCO5FCED7G676135,151,user04,2983.47,2002-08-21
4ZDD0PLHYQ2396481,173,user01,1748.3,2021-05-19
517DV0QLBFR999628,96,user22,1622.87,2021-04-29
52RI0SIMIEO259872,43,user01,1950.84,2021-05-24
55BNEOM74SD548903,8,user32,2886.07,2021-05-23
572N6O1FPHF266007,195,user04,1555.08,2021-03-21
57QKKXRE3D4530992,41,user21,2588.69,2021-05-18
5BJ3ZR2EH6A861494,4,user04,8042.42,2009-09-20
5BYUV0G3UUI083209,162,user06,3884.37,2005-03-21
5CB4NEI0MK5675645,145,user22,6015.46,2021-05-28
5NBXLBXN4X5470477,32,roland,2154.52,2021-06-27
5PIT4XQ2IDT961455,7,user10,2334.95,2020-09-27
5RCHA2RQSKN126776,49,user10,3785.84,2020-11-26
5T4361QO304945721,93,user21,4867.61,2012-03-20
5UQZITKQTP7241158,197,user21,5032.9,2001-11-21
5W5DTMZTE7I312231,57,user32,6975.02,2020-08-24
60R1UZM2YJQ922532,65,user06,6504.39,2021-06-30
61ZH3G2YGUO461519,32,user19,3189.05,2004-01-21
62EPDI1EYYJ402081,173,user06,3145.13,2020-08-28
65AR6E3EWLS157544,101,user21,1652.99,2020-04-18
6EO0EFPPJU8942538,91,user04,5807.24,2021-01-23
6FEEUSROFOI436591,88,user04,7161.07,2003-02-21
6HE6INXKVOC685258,82,user23,2263.75,2021-06-24
6HTUBB0KRJ1407886,195,user08,2287.66,2005-08-21
6MEJXRJQ5O7025667,101,user01,3293.82,2020-12-27
6N4TXWYA8PC030787,85,roland,1437.11,2002-12-21
6OAIXJI3HM8002365,100,user21,6411.85,2011-12-20
6OGX85SZXHN770887,71,user08,9580.36,2010-01-20
6ONV5QC8SUL616218,83,user32,6045.3,2004-05-21
6OT5NQTDYEP073810,11,user08,3897.01,2021-04-29
6PM6SVF3CVX504384,169,roland,4084.16,2021-06-30
6WN3XFUV8Z6152313,90,user19,4796.55,2005-05-21
73UHS1Z0DKT693966,156,user08,5931.14,2021-05-24
75QOYF2KTKC266578,152,user19,3023.43,2020-07-27
75VPS26W4QR001314,132,user23,1667.87,2021-06-26
7754T022K8E889647,40,roland,9114.65,2011-02-20
7I23Y4E5RZ7655655,149,user06,4480.69,2007-01-21
7KAYIOOSAYZ172761,10,user06,5442.24,2012-06-20
7PFC2F3KDN7669570,198,user06,5026.36,2006-02-21
7PL0G4ZAASO991142,164,user04,6840.39,2021-02-28
7U1WAVAPBF2458008,146,user22,1476.96,2020-06-24
7WLNYOXO5P1099432,25,user21,6102.2,2021-06-20
7WNL4MP2M8Q856796,79,user08,3207.51,2020-12-27
7XKJRIZ0285479470,177,user01,3970.6,2020-11-30
7XQG7TYXPF4141639,175,user21,3467.96,2021-04-17
83L3CNAESZD022827,130,user06,1210.37,2021-03-27
88WPSV7V73S064896,129,user06,2547.31,2021-04-25
8AWRIWHIOB7240899,158,user06,2338.21,2021-05-14
8CQ47AK2LFM523345,18,roland,1216.14,2008-06-20
8DPBPQ225LD772299,59,user23,7651.56,2004-05-21
8G3LUP7YDIR245248,145,user32,3013.04,2021-06-17
8MRNKO3ZQ1T953377,9,user23,2272.39,2020-11-27
8RS6MDUB5YB272372,42,user19,1872.88,2021-02-20
8X1ZMNTEG8V581855,149,user06,2018.77,2021-06-23
AAVNFB47ECV285025,142,user23,2516.03,2005-01-21
AH0SCOKRL8K489145,88,roland,2502.33,2020-04-18
AIMDPZ2KMND734997,169,user19,4604.62,2020-10-18
AJ2JSVDYM0O897692,72,user21,1328.51,2005-03-20
AJLR6IODVV3757973,182,user23,2280.7,2021-04-21
AKYPYSGLLFN832831,75,user08,6727.05,2021-02-14
AM7FZWLEUHK307952,137,user08,2966.77,2002-02-21
AQ744PRF6TR968003,182,user06,2990.78,2020-09-30
AUQIR5H4HRE068152,84,user08,4619.28,2021-05-16
AZ1R666ZIWS777011,37,user01,2357.37,2021-06-23
AZA8YX5O3PY967382,174,user22,4656.09,2004-07-21
B4HYVLVNMCG170801,84,user21,2452.49,2021-04-23
B6MT5EQQSFX854507,55,user32,2005.85,2021-06-26
B6RK4XX6O4W718066,199,user08,6552.95,2020-11-26
B8R5GVJM8U6577878,52,user10,3854.01,2021-04-24
BEE6XDILLEY125933,187,user08,3105.68,2021-06-21
BFTNOGUH70U239681,139,user23,1687.03,2021-06-25
BJBHBZBQT6J386548,58,user01,2418.86,2003-12-21
BNWVPB0TCZ5369050,102,user22,5540.92,2020-10-27
BO6V8DRDEV2627679,188,user19,4092.19,2021-03-17
BROGP21GT25414842,121,user21,4729.32,2021-05-18
BSAQRUZ4AQV214478,164,user32,3220.03,2008-06-20
C15AQKT03T5311862,83,user06,2738.42,2002-04-21
C2JK28BV6S1248001,193,user22,3032.71,2021-06-22
C2SS48P7UYI831488,170,user21,5294.39,2005-09-21
CJJ5SBM35DI082557,40,user22,4493.39,2021-06-15
COPRS63UGGH984959,192,user21,6518.6,2006-02-21
CQ7SBSA7JFD966361,80,user08,7223.32,2021-01-29
D1YNI86BAFG479600,159,user21,3140.83,2020-11-30
D44SOXOWG6K878614,86,user23,3200.51,2021-06-16
DQ8KBM24EHR977367,28,user23,4283,2020-02-18
DQXE6GO6G5V238732,175,user06,4869.24,2002-06-21
DU3RGWYKW1Y406090,2,user10,2365,2021-04-16
DVKLB2SJQZ4928063,73,user08,5403.06,2008-06-20
DXWOU1SERL5871765,163,user06,3774.72,2021-03-17
E0TRL43QPJZ815034,9,user32,1969.09,2021-05-15
E4QKUQMW0P8911175,117,user06,2446.46,2020-08-29
E7IYDL7OWFB606746,200,user08,1217.24,2021-04-17
E7ONFGBD22A333203,198,user06,1459.41,2004-01-21
EHD6YVSC102433673,50,user23,2520.7,2006-11-21
EL1MM2S516M653465,56,roland,3279.82,2021-06-27
EQBIYSJUAOQ651323,164,user22,3715.4,2020-12-15
EQBPALH70WZ127691,135,user08,1541.38,2020-12-16
ESP5Z0140W6022687,88,user23,3290.94,2006-04-21
EZLHZ7DD2ZE033058,35,roland,2423.95,2021-04-23
F1MEI0IF6FC764593,137,user04,4916.68,2020-11-15
F3DB4T10CH7242347,104,user10,2278.8,2006-12-21
F63IMMDNGBM441376,141,user08,1785.26,2021-04-20
F66S3YWRFV8712696,146,user21,4038.54,2021-06-28
FB4IGVK46ES832414,137,user19,10530.24,2006-07-21
FC3M4R3UFSZ782289,84,user32,3950.08,2021-02-19
FDMBXB0I4YT845555,71,user23,6776.53,2009-03-20
FH1HMJOS4ZT144716,91,user08,2302.57,2021-06-18
FHR4SV2BZ3O982607,94,user10,3613.56,2007-01-21
FL02FHV2GJ3959589,163,user01,4619.33,2006-08-21
FLL6IM0OT4U839347,47,user06,3720.3,2008-03-20
FMETZSQTD6D874803,4,user01,2638.74,2001-08-21
FRT45IU5U10388263,17,user06,4531.79,2002-09-20
FSWKSU6C60V569652,44,user23,2799.83,2020-05-16
G1P06L4HJ6H584223,9,user04,2258.3,2020-12-20
G3TV1J6XAGV702888,58,user04,2789.89,2021-01-22
G4D6F6AOVRR018788,139,user22,5379.77,2021-03-29
G4HBX46SPAS103801,123,user23,5079.39,2001-06-21
G76Q0Y2PH58423466,68,user08,3718.33,2021-05-25
GD0BFGM17AX836671,49,user06,6296.55,2021-03-17
GEL2DE0T8I5148201,176,user23,2061.8,2001-02-21
GESZPBX67EE486101,184,user32,2291.9,2006-02-21
GGEWPOMLDT6438413,69,user21,4818.38,2021-04-25
GHQ048ABH46553056,169,user19,11249.2,2005-08-21
GMKQULBE7X4992195,80,user19,3147.88,2020-11-22
GO1G8UWZ6CC394395,133,user01,4055.22,2005-01-21
GTW0MIZ1NOH019692,138,user23,5027.5,2020-12-29
GV2UWRP5K1E172643,78,user06,4057,2021-05-23
GVAEGKOKAKD311144,177,user22,21901.6,2021-04-29
GVPGI5Z60L1544905,191,user08,2050.45,2005-04-20
GXF4VJG82KW841092,63,user08,1838.62,2004-01-20
H28C7JTLHKS979441,159,user04,6382.3,2021-03-26
H2G3FZT7PBC532016,57,user10,4375.15,2003-01-21
H5GMOZRUP8T165905,88,user01,2444.76,2006-12-20
H6IZE44IC6O731141,195,user22,2385,2021-04-30
H7A5VIFFP1A667799,105,user19,4543.43,2021-06-14
H7QI1RIE4PV927179,161,user22,2655.86,2010-11-20
H7YXEEZ5YBN321572,33,user22,2995.64,2021-04-25
HBLEGCX5QOM344604,132,user19,3744.47,2020-12-30
HI8BNKPUAJE220277,7,user08,3864.6,2021-01-17
HOVBLXCQ8IF716757,172,user04,2868.4,2021-03-18
HTKXE18G4LM642663,127,user01,4791.55,2021-02-18
HXAALKJLHP8932836,86,user06,3345.02,2021-02-16
HYJR3P5MJII589050,79,user19,2237.55,2012-04-20
HZM5D0NLDRM399010,80,user10,1951.61,2021-01-24
I7WFVKAWQYK253909,41,user22,5023.7,2020-12-31
I8Y14BPSZXY404516,139,roland,3228.81,2004-04-21
IG8PWUT4ME1344557,137,user08,4172.42,2021-01-22
IGRV02IHT73140725,22,user32,5343.14,2020-08-14
IH28F14QLL7256787,65,user32,2677.57,2006-04-21
IHRJFBVFNUW829342,168,user01,3548.04,2020-12-26
IKDJI2NJR3A634690,150,roland,1756.83,2021-02-25
IQS5QPGTG0T954170,20,user22,5261.7,2021-01-20
IRDWE0OJSPW783332,37,roland,2289.93,2020-06-30
J4OTOP87QJC586997,72,user01,2655.23,2004-12-21
J5DUNEJPB5K495242,44,user21,4406.34,2020-11-22
J6OFP8V1ZIU680463,199,user32,3522.96,2006-04-21
JFV8SJWZ8LP113703,72,user10,2736.82,2006-08-21
JGJDNZFK42R045945,14,user04,7961.64,2004-11-20
JN60KNMSBK2322558,28,user21,3092.85,2003-09-21
JO02RNGT1O8396523,101,user32,2983.59,2005-02-20
JOWEZ54DY63622106,175,user10,1625.09,2004-04-21
JOX151ZR3GE955194,29,user22,3045.34,2005-11-21
JQNHRUG2454456763,69,user32,1426.91,2021-04-20
JS3TNLHZADY983948,46,user06,2611.67,2020-10-19
JTQ8ES8FFQS897370,115,user04,1464.03,2021-01-26
JXYX45O20KZ533744,92,user01,1318.12,2021-05-29
JYK127G1ZR6964275,17,user32,5217.83,2011-01-20
JYOF3P3XBEW904056,126,user19,2947.03,2021-02-25
K1LNBMVU8BB464447,165,user04,4033.24,2020-09-30
K2M25QOYYPY944058,68,user23,2574.71,2021-04-19
K3E7PBHMZQD422776,122,user23,3957.79,2020-01-28
K8Z0TU6ENFN053742,93,user22,2125.93,2006-05-21
KABPXCO5NG6346564,18,user01,2386.79,2006-09-21
KBXXCK3OQ7B192491,171,user32,2638.16,2021-03-14
KDDOFMA5505536025,130,user19,2452.75,2021-05-14
KEJ5NNEZM57998731,159,user04,1886.6,2021-05-16
KEJEBILOGP8152100,68,user01,3684.43,2008-04-20
KFDWFBUV5X0109490,40,user22,2168.94,2010-12-20
KQNPAEA80G5480328,83,roland,6152.71,2021-04-22
KRS3DYJP4LD943857,155,roland,1492.13,2020-10-21
KSLB3XMCCOW534879,3,user32,2219.92,2021-04-25
KTIZ8OU6F5U976916,20,user19,2057.11,2021-01-23
KW7MS4N3N71094103,171,user06,6055.64,2004-03-21
KZO7LZXJXNR771606,121,user04,2091.94,2004-12-21
L0FICXE1E74826637,71,user21,1797.78,2004-05-21
LACZ7FVB5IL005861,191,user21,5472.03,2011-07-20
LDAX8MS7ZMA980634,21,user04,2200.7,2020-09-24
LDMZ4BXPWOE239230,22,roland,3470.02,2021-04-25
LESQWAWRV7W196089,33,user21,4156.76,2020-12-14
LH6O7CO8LIP340892,136,roland,2070.94,2021-05-29
LIQR1KMIZ00707485,113,user21,7593.6,2007-02-21
LM8UDLK41OI479349,103,user32,5797.88,2001-10-21
LMLJ20KCYXP867169,26,user04,3793.23,2020-09-24
LQF5D64NCQ5461737,80,user04,1403.08,2006-02-21
LRMHWLY7067260293,197,user21,3122.7,2021-06-24
LUKTEC25L13491705,57,roland,3001.35,2021-01-20
LVJGFVH42ZP066968,94,user32,2078.44,2001-05-21
LW4TX2CG6JA656800,36,user23,1650.37,2006-04-21
M7HJ4VAUP8V507732,197,roland,4186.59,2021-01-14
MBDGBO1V8RG307817,157,user01,3463.81,2021-05-19
MD0HGAJVEW8914201,194,user19,2214.74,2021-06-24
MDSNOZYL2ZL732848,182,user21,1685.61,2002-05-21
MJB8QWUK0PM433047,127,user04,2572.53,2021-06-24
MKNBPQIJ74V430424,133,user19,2160.83,2021-06-28
MO4IRL8VERY769844,116,user19,6570.76,2004-03-21
MRL4FQOSQLE899645,110,user01,5368.32,2021-05-14
MRMMF0HP62P826823,101,user10,5644.17,2009-12-20
MSDXHNXN7QI172357,9,user10,7246.1,2006-10-21
N8E3SF7HL4Q053617,192,user21,1616.58,2007-03-21
NA4F6S1MRA6664248,8,user06,2413.82,2021-05-31
ND00P44OT6F777455,128,user04,7027.79,2005-07-21
NE8WFOV66CZ904500,187,user01,3643.56,2010-05-20
NF28EM6ENDG175285,66,user06,4054.54,2012-02-20
NS2W7Q8QFUS135331,98,user08,2411.95,2021-05-25
NSCARZ5CLLT322372,147,user21,5447.97,2020-11-26
NTUHURHPI0H639059,53,user21,3024.8,2021-06-28
O3U8PZ7LEWO313018,101,user21,1511.22,2021-01-31
O4SAMHWK3TM537758,176,user32,5545.61,2020-10-24
O583JPNPRFJ444212,139,user08,5817.88,2003-09-20
O60A4VOEHXR128008,40,user21,3821.41,2021-04-15
O68UZR8AH8Z844182,123,user21,1872.16,2021-04-14
O7G8N14WM0R109118,67,user10,1521.73,2021-06-15
O8OCUJH4YMC669644,61,user22,4366.08,2002-04-21
OAFPPMDWGUH117863,2,user32,1395.09,2007-03-21
OBZR6DDFFCD009341,110,user23,1089.97,2008-07-20
OEA0E3LOO4W743479,12,user32,1304.21,2020-09-14
OFNSSWHOUJP894540,188,user10,5767.74,2020-07-27
OHCKSZQ18XX891594,149,user01,2191.49,2003-06-21
OO1YC73Q4SY467607,82,user10,6365.99,2006-09-21
OP7N2PZBA4C241759,124,user04,4080.71,2007-02-21
ORU7310Z7TU675976,139,user04,4357.22,2020-08-15
OVBB31XUCCJ534771,73,user21,2508.27,2021-05-23
P17AFMQE3BI177849,125,user19,5578.85,2021-03-23
P1RZOQHCOAP558002,184,user01,1498.04,2021-02-19
P4QVR1UU2HK859570,37,user21,1639.29,2021-01-15
P724MZX4MT1276309,13,user04,4970.82,2021-05-16
PHC3C1O8R1Q659241,124,user32,3213.94,2020-05-25
PKYOLPHA18P242940,11,user10,1473.54,2003-03-21
PKZKDPC20DX722828,129,user04,5071.83,2020-08-29
PPC2Q3TT2DU845732,24,user22,3882.63,2021-05-28
PPFD88BR0K2892279,4,user10,2429.33,2001-10-21
PSTBCM0C2MV291539,65,roland,2099.6,2021-01-23
PSUTDDZWZDP014734,68,user06,3005.32,2008-05-20
PTTIH4HLA8I333807,192,user19,2333.2,2021-03-29
PUMDW0JUESZ514707,116,user19,4242.2,2008-02-20
PW70TS0DUFN828484,56,user08,4193.08,2004-10-20
Q04FS5KM3OG901738,154,user32,3341.72,2021-04-25
Q6CNI13ED0C199030,134,user23,3574.51,2020-10-28
QAS5AVWTM6E601144,195,user06,3593.6,2007-02-21
QCAV3QS7EWD618783,2,user21,3193.71,2006-10-21
QCOWM4RH6IR775623,198,user19,2179.81,2021-06-19
QE1021R78T0365667,79,user19,2508.82,2021-03-25
QI80NK13N12893077,7,user23,4000.93,2021-06-28
QISITLRQ5WH413699,115,user19,1643.88,2006-10-21
QJSZBIU41RZ000557,185,user06,2578.44,2006-12-21
QN388KU6HTL416435,146,user32,3802.49,2021-03-17
QWW8Y55NYTR063884,66,user10,2276.62,2021-03-31
QWYEUSHQPNE215410,200,user04,5095.28,2007-03-20
R3YIF8UZ4P1070425,26,user21,3561.35,2020-02-19
R4EQ76G1HHV776360,128,user23,1440.26,2021-05-20
R60F6EU85VY130194,113,user23,4794.42,2021-06-22
R72N7L114R7898065,193,user21,2195.71,2021-03-17
R8UHBMX4TQI234223,129,user06,6588.69,2009-08-20
RAGZ5GF7O8T913064,189,user04,4320.27,2006-05-21
RCWIFAWFT3E015306,73,user04,1766.93,2020-08-18
RF2BB0LOILQ809554,51,user21,3026,2021-05-15
RHVJT3TXHWL819894,191,user01,2045.02,2020-12-13
RLXG5XQRAQ3165459,181,user06,1886.17,2020-04-15
RMX0AE4LYYW896673,67,user08,4049.93,2008-05-20
RU32GUAPYSR767349,178,user06,5683.23,2020-10-27
S0IF4QEGMQI832765,90,user08,2719.94,2002-12-21
S2N3CMXWZPV810214,130,user04,2027.99,2021-06-16
S4TI4IX70JJ322540,171,user23,3636.28,2021-06-29
S5263SMBZPG600452,191,user08,3764.38,2021-03-19
S5MQN63PZL6857813,157,user21,15595.73,2021-03-20
SC4XXMXCD3O314777,197,user06,1894.68,2011-07-20
SDBQO6SS2H8788376,104,user04,2693.52,2006-09-21
SHN7X1KFP65647255,46,user21,3006.81,2020-11-23
SLW1XG4GWUM246789,109,user10,3955.52,2004-02-21
SSK6RJETTAY507275,89,user19,2431.63,2020-02-15
SSS7P1GXYA6831681,38,user04,4448.54,2006-10-21
SYK3OZKA6FN066098,103,user01,10119.4,2021-03-17
T3LJKVCQKWT790170,192,user21,11529.33,2021-06-21
TEYEM2FW6ZU902939,117,user22,3765.44,2006-11-21
TFRBNINRQHD994300,160,user32,6018.3,2021-03-25
TIGCC0J14W1049941,24,user06,3247.17,2009-02-20
TN71ZRAXPD7832958,184,user19,1776.5,2021-06-16
TO6RWDMW814286852,36,user01,7114.54,2021-01-19
TOHM82154DP914803,39,user06,4290.21,2021-04-22
TPWVCLGW5SF975070,150,user10,8965.22,2021-06-30
TVKSQ24CI8Q683260,68,roland,2260.78,2007-02-21
TY6ELGLPBTV020931,143,roland,2136.25,2020-07-18
U2XIPWQ4U2Q518809,118,user23,4142.67,2012-05-20
U3Q7P5C8GZP868702,162,user10,2506.32,2006-11-21
U3Z8TODSG28826809,200,user08,3254.58,2021-02-27
U630YUK0F2X877887,133,user32,2123.99,2001-03-21
UB0FCRJ4Q31126837,50,roland,4022.32,2007-02-21
UBR5KSD76ZB411512,115,user08,2765.67,2006-11-21
UDGMKMHR25C842616,113,user06,3711.22,2005-05-21
UE021615KMB218122,89,user06,2107.39,2021-06-29
UEJUQU101MB418637,172,user06,3282.07,2020-11-27
UFZBV43FAC2764534,158,user06,3064.2,2005-11-20
UHC76PD8DA6169438,12,user06,2960.13,2020-11-29
UHR044A6RAT399029,199,user06,7783.9,2021-02-18
UNHJCJVVT0L007357,109,user23,1308.35,2004-01-21
URGQRLDWJAO598363,156,user22,2543.6,2002-10-21
URH3DGEQQ7S513356,99,user32,4106.11,2010-07-20
V5NULLM2X1M103960,173,user06,11358.79,2020-10-23
V7RRXZF3UDD625897,137,user19,3285.6,2021-03-17
VGE7R67HBNW773708,86,user10,5324.57,2021-06-14
VHN8VKHSZSO282046,59,user01,2810.17,2021-05-22
VLRKLTIXYIZ273737,21,user01,1997.98,2006-08-21
VOO8ABE46Z0963128,47,user01,3399.73,2021-06-17
VOQ56SWYWJB706872,26,user08,1686.13,2003-09-21
VU1M5IDDL6S091256,122,roland,3969.35,2008-11-20
VX1PVFHZBMX335341,24,user01,1759.23,2011-10-20
W1RYVGXFD68971984,73,user19,4405.62,2021-03-15
WAKUE2I52W0243711,126,user23,5168.62,2021-05-27
WO62TPHPUNV545044,77,user22,4993.56,2012-12-20
WQBEI8L8OTJ787811,7,user08,3412.14,2020-10-19
WRJTUEFBEKL053792,6,user21,14200.51,2020-09-26
WXXT4CJXT8X866335,60,user19,3668.54,2021-03-18
WZLYDQJPVXX172107,182,user10,5045.01,2007-03-21
X20OKJA25ZI851267,195,user32,3351.28,2021-06-27
X7WRF6GJKRO032058,156,roland,2251.08,2007-11-20
XFN55MCIYNY954918,161,user10,4216.01,2021-01-14
XG6TUSMRKJ7859790,144,user06,2742.24,2003-09-21
XKOR6FN4NB0771721,152,user22,5739.49,2020-09-28
XLE7HGMPN41742434,195,user01,3795.24,2020-12-22
XNCXSM3JPVX095298,121,roland,1411.23,2020-11-15
XW26GD4VYPB194891,167,user06,3388.74,2008-11-20
XZH6HV3YNEO902234,121,user23,3154.05,2021-02-13
Y3YFDYEUPJ2715198,152,user19,4809.52,2021-06-21
Y80MGSI0T6F866229,150,user21,2751.04,2006-02-21
Y8C5IT8AQ05184927,124,user08,5473.91,2006-11-21
Y8Z0KNDQWL2566444,35,user10,1835.07,2007-06-20
YAZCSXVG8FR318362,31,user01,7315.16,2010-07-20
YDUVE4Y7TY7392605,80,user10,2555.99,2020-12-27
YH26TJ504TO241467,26,user32,1693.22,2021-02-17
YHXRVAZZU61082434,115,user32,3142.48,2006-08-21
YJ3Y7H3KJRI908228,62,roland,4481.18,2021-06-14
YK5IEXQC53O490199,194,user19,3446.55,2006-01-21
YOFF7JGYY7O418558,165,user21,3400.79,2007-01-21
YQKTZSBESHS704350,84,user22,2525.97,2006-01-21
YR0BYZ2LKGR405349,178,user08,5532.68,2020-09-18
YVB5QZPUU4J557508,88,roland,6363.72,2021-06-28
YVCC3OMTRFN440424,192,user04,3467.11,2001-10-21
YW0NB0HVBXQ136944,171,user08,2482.43,2021-03-14
YXGLZG8ECDM958701,22,user10,1676.8,2021-05-26
YY8OSRCI6X0011928,130,user10,3223.71,2021-03-26
YYD1IOVV8LV476788,146,user19,4481.04,2020-08-31
Z0A37CJ5Q6J159776,78,user08,2283.42,2007-03-21
Z1ASPSHALNI992893,151,user23,3079.19,2006-10-20
Z1MBS0LZ6BU099956,48,user10,3817.03,2003-01-21
Z2RRAJH2X3J850942,113,user32,3590.78,2012-03-20
Z3BUCA4HE1G243690,172,user10,1511,2021-06-18
Z7VWWWNUAXQ698054,137,user01,1953.94,2021-06-22
ZAZZSPQY2MF351571,139,user01,5853.75,2020-11-23
ZBJWXVPPM7K107746,122,roland,972.23,2012-10-20
ZBPE1C11UOK224003,108,user08,4080.87,2021-04-26
ZSQLODTR32F951695,37,user21,2772.56,2021-05-28
ZUH3A73K7QN853290,65,user22,1274.65,2021-03-23
ZUWIG7658G1890179,77,user32,1728.44,2002-08-21
ZX50RRJVFCP539257,118,user23,2051.9,2021-02-20
ZZCURK8V4CR757611,83,roland,1968.33,2021-05-31